Time(UTC),Symbol,Funding Rate
2022-09-04 00:00:00,ETHUSDT,-0.00005879
2022-09-03 16:00:00,ETHUSDT,-0.000117
2022-09-03 08:00:00,ETHUSDT,-0.00009652
2022-09-03 00:00:00,ETHUSDT,-0.00008589
2022-09-02 16:00:00,ETHUSDT,-0.00006629
2022-09-02 08:00:00,ETHUSDT,0.00004905
2022-09-02 00:00:00,ETHUSDT,0.00001018
2022-09-01 16:00:00,ETHUSDT,-0.00004119
2022-09-01 08:00:00,ETHUSDT,-0.00004375
2022-09-01 00:00:00,ETHUSDT,-0.00004994
2022-08-31 16:00:00,ETHUSDT,-0.00006574
2022-08-31 08:00:00,ETHUSDT,-0.00004789
2022-08-31 00:00:00,ETHUSDT,-0.00006389
2022-08-30 16:00:00,ETHUSDT,-0.0000962
2022-08-30 08:00:00,ETHUSDT,-0.00014886
2022-08-30 00:00:00,ETHUSDT,-0.00023703
2022-08-29 16:00:00,ETHUSDT,-0.00014834
2022-08-29 08:00:00,ETHUSDT,-0.0001937
2022-08-29 00:00:00,ETHUSDT,-0.00005717
2022-08-28 16:00:00,ETHUSDT,-0.00005436
2022-08-28 08:00:00,ETHUSDT,-0.00021377
2022-08-28 00:00:00,ETHUSDT,-0.00022757
2022-08-27 16:00:00,ETHUSDT,-0.00014661
2022-08-27 08:00:00,ETHUSDT,-0.00013472
2022-08-27 00:00:00,ETHUSDT,-0.00003206
2022-08-26 16:00:00,ETHUSDT,0.00006457
2022-08-26 08:00:00,ETHUSDT,-0.00011519
2022-08-26 00:00:00,ETHUSDT,-0.00008261
2022-08-25 16:00:00,ETHUSDT,-0.00005022
2022-08-25 08:00:00,ETHUSDT,-0.00009205
2022-08-25 00:00:00,ETHUSDT,-0.0001011
2022-08-24 16:00:00,ETHUSDT,0.00000116
2022-08-24 08:00:00,ETHUSDT,-0.00004893
2022-08-24 00:00:00,ETHUSDT,-0.00025069
2022-08-23 16:00:00,ETHUSDT,-0.00022282
2022-08-23 08:00:00,ETHUSDT,-0.00008816
2022-08-23 00:00:00,ETHUSDT,-0.00001255
2022-08-22 16:00:00,ETHUSDT,-0.00009265
2022-08-22 08:00:00,ETHUSDT,-0.00004481
2022-08-22 00:00:00,ETHUSDT,-0.00008618
2022-08-21 16:00:00,ETHUSDT,-0.0000269
2022-08-21 08:00:00,ETHUSDT,-0.00003727
2022-08-21 00:00:00,ETHUSDT,-0.0000013
2022-08-20 16:00:00,ETHUSDT,0.00006202
2022-08-20 08:00:00,ETHUSDT,0.00004262
2022-08-20 00:00:00,ETHUSDT,0.00007348
2022-08-19 16:00:00,ETHUSDT,0.0001
2022-08-19 08:00:00,ETHUSDT,0.0000938
2022-08-19 00:00:00,ETHUSDT,-0.0000588
2022-08-18 16:00:00,ETHUSDT,-0.00000811
2022-08-18 08:00:00,ETHUSDT,0.0001
2022-08-18 00:00:00,ETHUSDT,0.0001
2022-08-17 16:00:00,ETHUSDT,0.0001
2022-08-17 08:00:00,ETHUSDT,0.0001
2022-08-17 00:00:00,ETHUSDT,0.0001
2022-08-16 16:00:00,ETHUSDT,0.0001
2022-08-16 08:00:00,ETHUSDT,0.0001
2022-08-16 00:00:00,ETHUSDT,0.0001
2022-08-15 16:00:00,ETHUSDT,0.0001
2022-08-15 08:00:00,ETHUSDT,0.0001
2022-08-15 00:00:00,ETHUSDT,0.0001
2022-08-14 16:00:00,ETHUSDT,0.0001
2022-08-14 08:00:00,ETHUSDT,0.0001
2022-08-14 00:00:00,ETHUSDT,0.0001
2022-08-13 16:00:00,ETHUSDT,0.0001
2022-08-13 08:00:00,ETHUSDT,0.0001
2022-08-13 00:00:00,ETHUSDT,0.0001
2022-08-12 16:00:00,ETHUSDT,0.0001
2022-08-12 08:00:00,ETHUSDT,0.0001
2022-08-12 00:00:00,ETHUSDT,0.0001
2022-08-11 16:00:00,ETHUSDT,0.0001
2022-08-11 08:00:00,ETHUSDT,0.0001
2022-08-11 00:00:00,ETHUSDT,0.0001
2022-08-10 16:00:00,ETHUSDT,0.0001
2022-08-10 08:00:00,ETHUSDT,0.0001
2022-08-10 00:00:00,ETHUSDT,0.0001
2022-08-09 16:00:00,ETHUSDT,0.0001
2022-08-09 08:00:00,ETHUSDT,0.0001
2022-08-09 00:00:00,ETHUSDT,0.0001
2022-08-08 16:00:00,ETHUSDT,0.0001
2022-08-08 08:00:00,ETHUSDT,0.0001
2022-08-08 00:00:00,ETHUSDT,0.00006047
2022-08-07 16:00:00,ETHUSDT,0.0000579
2022-08-07 08:00:00,ETHUSDT,0.00001676
2022-08-07 00:00:00,ETHUSDT,0.00001077
2022-08-06 16:00:00,ETHUSDT,0.0001
2022-08-06 08:00:00,ETHUSDT,0.0001
2022-08-06 00:00:00,ETHUSDT,0.00008938
2022-08-05 16:00:00,ETHUSDT,0.00005306
2022-08-05 08:00:00,ETHUSDT,-0.0000346
2022-08-05 00:00:00,ETHUSDT,-0.00003429
2022-08-04 16:00:00,ETHUSDT,0.0000529
2022-08-04 08:00:00,ETHUSDT,0.00007507
2022-08-04 00:00:00,ETHUSDT,0.00006919
2022-08-03 16:00:00,ETHUSDT,-0.00005662
2022-08-03 08:00:00,ETHUSDT,-0.00005425
2022-08-03 00:00:00,ETHUSDT,-0.00000561
2022-08-02 16:00:00,ETHUSDT,-0.00006226
2022-08-02 08:00:00,ETHUSDT,0.0001
2022-08-02 00:00:00,ETHUSDT,0.0001
2022-08-01 16:00:00,ETHUSDT,0.0000666
2022-08-01 08:00:00,ETHUSDT,-0.00000442
2022-08-01 00:00:00,ETHUSDT,0.0001
2022-07-31 16:00:00,ETHUSDT,0.0001
2022-07-31 08:00:00,ETHUSDT,0.0001
2022-07-31 00:00:00,ETHUSDT,0.00006426
2022-07-30 16:00:00,ETHUSDT,0.00001731
2022-07-30 08:00:00,ETHUSDT,0.0001
2022-07-30 00:00:00,ETHUSDT,0.0001
